header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Mingma Dorje,Sherpa,Mingma Dorje Sherpa (Phortse),Nepal, (Phortse),M,52,1965,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,22-05-2018,0555,5.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,2018 Spr,EVER,EVER-181-25,35,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2018,1,0,FALSE
,Mingma Dorje,Sherpa,Mingma Dorje Sherpa (Makalu-Barun),Nepal, (Makalu-Barun),M,32,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,17-05-2018,0530,5.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,2018 Spr,EVER,EVER-181-66,43,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2018,1,0,FALSE
,Mingma Gyabu (Mingma David),Sherpa,Mingma Gyabu (Mingma David) Sherpa (Sakathum),Nepal, (Sakathum),M,29,1989,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,21-05-2018,0550,5.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 21,5, 1,2018 Spr,EVER,EVER-181-18,17,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2018,1,0,FALSE
,Mingma Nuru,Sherpa,Mingma Nuru Sherpa (Pangboche),Nepal, (Pangboche),M,27,1990,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-85,55,2,N Col-NE Ridge,,1,1,Arun Treks,,2018,1,0,TRUE
,Mingma Sona,Sherpa,Mingma Sona Sherpa (Makalu-9),Nepal, (Makalu-9),M,34,1983,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,0635,6.58,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-08,15,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2018,1,0,TRUE
,Mingma Sona,Sherpa,Mingma Sona Sherpa (Phortse),Nepal, (Phortse),M,27,1991,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,21-05-2018,0659,6.98,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 21,5, 1,2018 Spr,EVER,EVER-181-25,36,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2018,1,0,FALSE
,Mingma Tendi,Sherpa,Mingma Tendi Sherpa (Jubing-2),Nepal, (Jubing-2),M,28,1990,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,20-05-2018,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,2018 Spr,EVER,EVER-181-03,24,1,S Col-SE Ridge,,1,1,Asian Trekking,,2018,1,0,TRUE
,Mingma Tenjing,Sherpa,Mingma Tenjing Sherpa (Khumjung),Nepal, (Khumjung),M,25,1993,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2018,0658,6.97,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2018 Spr,EVER,EVER-181-06,19,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2018,1,0,FALSE
,Mingma Tenzing,Sherpa,Mingma Tenzing Sherpa (Pare),Nepal, (Pare),M,50,1967,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,23-05-2018,0630,6.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,2018 Spr,EVER,EVER-181-39,06,1,S Col-SE Ridge,,1,1,Makalu Extreme Treks,,2018,1,0,FALSE
,Mingma Tenzing/Tenji,Sherpa,Mingma Tenzing/Tenji Sherpa (Makalu-Barun),Nepal, (Makalu-Barun),M,32,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,17-05-2018,0530,5.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,2018 Spr,EVER,EVER-181-66,44,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2018,1,0,FALSE
,Mingma Thindu,Sherpa,Mingma Thindu Sherpa (Nurbu Chaur),Nepal, (Nurbu Chaur),M,37,1980,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,0635,6.58,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-73,16,2,N Col-NE Ridge,,1,1,Iceland Trekking,,2018,1,0,FALSE
,Mingma Thinduk,Sherpa,Mingma Thinduk Sherpa (Nurbu Chaur),Nepal, (Nurbu Chaur),M,35,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,17-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,2018 Spr,EVER,EVER-181-17,21,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2018,1,0,FALSE
,Mingma Tshering (Mingma Chhiring),Sherpa,Mingma Tshering (Mingma Chhiring) Sherpa (Phortse),Nepal, (Phortse),M,46,1972,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,20-05-2018,0526,5.43,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,2018 Spr,EVER,EVER-181-70,08,2,N Col-NE Ridge,,1,1,Himalaya Vision,,2018,1,0,FALSE
,Mingmar,Sherpa,Mingmar Sherpa (Yaphu-9),Nepal, (Yaphu-9),M,33,1984,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,0500,5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-08,16,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2018,1,0,TRUE
,Mingmar,Sherpa,Mingmar Sherpa (Tapting-5),Nepal, (Tapting-5),M,22,1995,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-63,10,1,S Col-SE Ridge,,1,1,Seven Brothers Summiters,,2018,1,0,TRUE
,Mingmar Dorje,Sherpa,Mingmar Dorje Sherpa (Gudel-9),Nepal, (Gudel-9),M,36,1981,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2018,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2018 Spr,EVER,EVER-181-37,15,1,S Col-SE Ridge,,1,1,Sherpa Khangri Outdoor (Satori Adventures pmt),,2018,1,0,FALSE
,Muktu Lhakpa (Muktuk),Sherpa,Muktu Lhakpa (Muktuk) Sherpa (Tashigaon),Nepal, (Tashigaon),M,45,1972,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2018 Spr,EVER,EVER-181-66,45,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2018,1,0,FALSE
,Namgel,Sherpa,Namgel Sherpa (Lokhim-9),Nepal, (Lokhim-9),M,22,1995,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,22-05-2018,0320,3.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,2018 Spr,EVER,EVER-181-74,11,2,N Col-NE Ridge,,1,1,Expedition Himalaya,,2018,1,0,FALSE
,Namgya/Namgyal,Sherpa,Namgya/Namgyal Sherpa (Gyabla),Nepal, (Gyabla),M,46,1971,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,0645,6.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-55,05,1,S Col-SE Ridge,,1,1,Grand Himalaya Treks,,2018,1,0,FALSE
