header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Pemba Rinzi/Rinji,Sherpa,Pemba Rinzi/Rinji Sherpa (Bishinga-7),Nepal, (Bishinga-7),M,36,1976,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-43,22,1,S Col-SE Ridge,,1,1,Peak Promotion,,2012,1,0,FALSE
,Pemba Rita,Sherpa,Pemba Rita Sherpa (Beding),Nepal, (Beding),M,32,1979,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-61,11,1,S Col-SE Ridge,,1,1,Peak Promotion,,2012,1,0,FALSE
,Pemba Tenzing,Sherpa,Pemba Tenzing Sherpa (Thamo),Nepal, (Thamo),M,35,1976,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,20-05-2012,0607,6.12,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,2012 Spr,EVER,EVER-121-69,19,1,S Col-SE Ridge,,1,1,Sherpa Shangri-La Trekking,,2012,1,0,FALSE
,Pemba Thinduk,Sherpa,Pemba Thinduk Sherpa (Makalu-9),Nepal, (Makalu-9),M,30,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0630,6.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-42,10,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2012,1,0,FALSE
,Pemba Tshering,Sherpa,Pemba Tshering Sherpa (Khumjung),Nepal, (Khumjung),M,33,1979,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0707,7.12,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-03,16,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Pemba Tshering (Maila),Sherpa,Pemba Tshering (Maila) Sherpa (Khumjung),Nepal, (Khumjung),M,25,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,1105,11.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-01,33,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Phinjo Dorje (Finjo Dorje),Sherpa,Phinjo Dorje (Finjo Dorje) Sherpa (Pangboche),Nepal, (Pangboche),M,25,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0430,4.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-40,53,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2012,1,0,FALSE
,Phu Dorchi,Sherpa,Phu Dorchi Sherpa (Makalu-5),Nepal, (Makalu-5),M,30,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0800,8,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-24,11,2,N Col-NE Ridge,,1,1,Mountain Monarch,,2012,1,0,TRUE
,Phu Dorje (Phura Dorje),Sherpa,Phu Dorje (Phura Dorje) Sherpa (Gudel-4),Nepal, (Gudel-4),M,29,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0626,6.43,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-25,07,1,S Col-SE Ridge,,1,1,Expedition Himalaya,,2012,1,0,TRUE
,Phu Nuru (Funuru),Sherpa,Phu Nuru (Funuru) Sherpa (Jubing-7),Nepal, (Jubing-7),M,30,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0818,8.3,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-12,08,1,S Col-SE Ridge,,1,1,High Altitude Dreams,,2012,1,0,TRUE
,Phu Nuru (Phunuru),Sherpa,Phu Nuru (Phunuru) Sherpa (Phortse),Nepal, (Phortse),M,32,1980,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0416,4.27,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-40,54,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2012,1,0,FALSE
,Phu Tashi,Sherpa,Phu Tashi Sherpa (Phortse),Nepal, (Phortse),M,34,1977,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,2,18-05-2012,1300,13,25-05-2012,,5.25,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2012 Spr,EVER,EVER-121-67,24,1,S Col-SE Ridge,,1,1,Senge Treks & Expeditions,,2012,1,0,FALSE
,Phu Tashi,Sherpa,Phu Tashi Sherpa (Pangboche),Nepal, (Pangboche),M,39,1972,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0324,3.4,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-40,55,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2012,1,0,FALSE
,Phuchung,Sherpa,Phuchung Sherpa,India,,M,30,1982,Climber,0,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0330,3.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-41,06,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2012,1,0,TRUE
,Phur Gyalzen (Fur Geljen),Sherpa,Phur Gyalzen (Fur Geljen) Sherpa (Yilajung),Nepal, (Yilajung),M,42,1970,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0707,7.12,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-03,17,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Phura Gyalzen (Phurba Gyalzen),Sherpa,Phura Gyalzen (Phurba Gyalzen) Sherpa (Pangkoma),Nepal, (Pangkoma),M,28,1984,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0818,8.3,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-12,09,1,S Col-SE Ridge,,1,1,High Altitude Dreams,,2012,1,0,FALSE
,Phura Jangbu (Ang Jangbu),Sherpa,Phura Jangbu (Ang Jangbu) Sherpa (Phurte),Nepal, (Phurte),M,30,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2012,1330,13.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2012 Spr,EVER,EVER-121-46,17,1,S Col-SE Ridge,,1,1,Sherpa Shangri-La Trekking,,2012,1,0,FALSE
,Phura Kancha (Fur Kancha),Sherpa,Phura Kancha (Fur Kancha) Sherpa (Thami),Nepal, (Thami),M,35,1977,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2012,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2012 Spr,EVER,EVER-121-46,18,1,S Col-SE Ridge,,1,1,Sherpa Shangri-La Trekking,,2012,1,0,FALSE
,Phura Nuru,Sherpa,Phura Nuru Sherpa (Tesho),Nepal, (Tesho),M,26,1985,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-02,15,2,N Col-NE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Phurba Chhoter (Ang Jangbu),Sherpa,Phurba Chhoter (Ang Jangbu) Sherpa (Yilajung),Nepal, (Yilajung),M,40,1971,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2012,1330,13.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2012 Spr,EVER,EVER-121-46,19,1,S Col-SE Ridge,,1,1,Sherpa Shangri-La Trekking,,2012,1,0,FALSE
,Phurba Gyalje/Gyalzen,Sherpa,Phurba Gyalje/Gyalzen Sherpa (Makalu-9),Nepal, (Makalu-9),M,33,1978,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,1028,10.47,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-39,02,1,S Col-SE Ridge,,1,1,Loben Expeditions,,2012,1,0,FALSE
,Phurba Namgyal,Sherpa,Phurba Namgyal Sherpa (Beding),Nepal, (Beding),M,26,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0615,6.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-16,11,1,S Col-SE Ridge,,1,1,Summit Nepal Trekking,,2012,1,0,FALSE
,Phurba Ongyal,Sherpa,Phurba Ongyal Sherpa (Pangboche),Nepal, (Pangboche),M,24,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0616,6.27,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-40,56,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2012,1,0,TRUE
,Phurba Tenzing,Sherpa,Phurba Tenzing Sherpa (Beding),Nepal, (Beding),M,24,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-15,03,1,S Col-SE Ridge,,1,1,Numbur Himal Treks,,2012,1,0,FALSE
,Phurba Tshering,Sherpa,Phurba Tshering Sherpa (Thami),Nepal, (Thami),M,39,1973,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0515,5.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-03,18,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Phurba Tshering (Lama Phurba),Sherpa,Phurba Tshering (Lama Phurba) Sherpa (Thamo),Nepal, (Thamo),M,53,1958,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-02,16,2,N Col-NE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Phurbu Kusang,Sherpa,Phurbu Kusang Sherpa (Makalu-9),Nepal, (Makalu-9),M,38,1973,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0545,5.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-31,37,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2012,1,0,FALSE
,Renje Lhakpa,Sherpa,Renje Lhakpa Sherpa (Balakharka),Nepal, (Balakharka),M,24,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0545,5.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-31,38,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2012,1,0,FALSE
,Rinjen,Sherpa,Rinjen Sherpa (Balakharka),Nepal, (Balakharka),M,39,1973,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0545,5.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-31,39,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2012,1,0,FALSE
,Rinji/Rinzi,Sherpa,Rinji/Rinzi Sherpa (Patle-6),Nepal, (Patle-6),M,48,1964,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0655,6.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-73,07,2,N Col-NE Ridge,,1,1,Cho Oyu Trekking,,2012,1,0,TRUE
,Samden,Sherpa,Samden Sherpa (Bakachol-9),Nepal, (Bakachol-9),M,24,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-36,16,1,S Col-SE Ridge,,1,1,Expedition Himalaya,,2012,1,0,FALSE
,Samgel (Samgyal),Sherpa,Samgel (Samgyal) Sherpa (Makalu-9),Nepal, (Makalu-9),M,40,1972,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-54,37,1,S Col-SE Ridge,,1,1,Rimo Expeditions,,2012,1,0,FALSE
,Sange Dorje,Sherpa,Sange Dorje Sherpa (Khumjung),Nepal, (Khumjung),M,34,1978,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0510,5.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-75,23,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2012,1,0,FALSE
,Sange Phuru,Sherpa,Sange Phuru Sherpa (Bakachol-9),Nepal, (Bakachol-9),M,25,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-67,25,1,S Col-SE Ridge,,1,1,Senge Treks & Expeditions,,2012,1,0,TRUE
,Sanu,Sherpa,Sanu Sherpa (Walung),Nepal, (Walung),M,37,1975,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0705,7.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-32,06,1,S Col-SE Ridge,,1,1,Tseringma Treks,,2012,1,0,FALSE
,Shera Gyalzen,Sherpa,Shera Gyalzen Sherpa (Khumjung),Nepal, (Khumjung),M,24,1987,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0800,8,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-03,19,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Sona,Sherpa,Sona Sherpa (Chheskam-2),Nepal, (Chheskam-2),M,34,1977,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0330,3.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-41,11,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2012,1,0,FALSE
,Sonam Dorje,Sherpa,Sonam Dorje Sherpa (Phortse),Nepal, (Phortse),M,24,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0730,7.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-60,18,1,S Col-SE Ridge,W Ridge (to 6800m),1,1,Sherpa Shangri-La Trekking,,2012,1,0,TRUE
,Sonam Tshering,Sherpa,Sonam Tshering Sherpa (Kharikhola),Nepal, (Kharikhola),M,24,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0650,6.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-01,34,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Sonam Tshering (Ang Sona),Sherpa,Sonam Tshering (Ang Sona) Sherpa (Khunde),Nepal, (Khunde),M,25,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-75,24,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2012,1,0,FALSE
,"Tamtin (Thomting, Tamding)",Sherpa,"Tamtin (Thomting, Tamding) Sherpa (Beding)",Nepal, (Beding),M,37,1974,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0750,7.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-72,02,2,N Col-NE Ridge,,1,1,Rolwaling Excursion,,2012,1,0,FALSE
,Tashi,Sherpa,Tashi Sherpa (Beding),Nepal, (Beding),M,33,1979,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0750,7.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-44,04,2,N Col-NE Ridge,,1,1,Rolwaling Treks,,2012,1,0,FALSE
,Tashi,Sherpa,Tashi Sherpa (Cheremy),Nepal, (Cheremy),M,34,1977,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0705,7.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-32,07,1,S Col-SE Ridge,,1,1,Tseringma Treks,,2012,1,0,FALSE
,Tashi Thundup/Thundu,Sherpa,Tashi Thundup/Thundu Sherpa (Khumjung),Nepal, (Khumjung),M,27,1985,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,2,19-05-2012,1400,14,25-05-2012,,5.25,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-67,26,1,S Col-SE Ridge,,1,1,Senge Treks & Expeditions,,2012,1,0,FALSE
,Temba,Sherpa,Temba Sherpa (Sotang-6),Nepal, (Sotang-6),M,34,1977,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-36,17,1,S Col-SE Ridge,,1,1,Expedition Himalaya,,2012,1,0,FALSE
,Temba,Sherpa,Temba Sherpa,Nepal,,M,0,,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-86,05,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2012,1,0,TRUE
,Tendi,Sherpa,Tendi Sherpa (Gudel-4),Nepal, (Gudel-4),M,35,1976,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-24,12,2,N Col-NE Ridge,,1,1,Mountain Monarch,,2012,1,0,TRUE
,Tendi,Sherpa,Tendi Sherpa (Jubing-7),Nepal, (Jubing-7),M,27,1984,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0730,7.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-60,19,1,S Col-SE Ridge,W Ridge (to 6800m),1,1,Sherpa Shangri-La Trekking,,2012,1,0,TRUE
,Tenji/Tenzing,Sherpa,Tenji/Tenzing Sherpa (Patle-6),Nepal, (Patle-6),M,29,1982,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,27-05-2012,0415,4.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,2012 Spr,EVER,EVER-121-49,09,2,N Col-NE Ridge,,1,1,Everest Parivar,,2012,1,0,FALSE
,Tenjin/Tenjen,Sherpa,Tenjin/Tenjen Sherpa (Balakharka),Nepal, (Balakharka),M,21,1991,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0545,5.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-31,40,2,N Col-NE Ridge,,1,1,7 Summits Adventure,,2012,1,0,FALSE
,Tenzing (Tenji),Sherpa,Tenzing (Tenji) Sherpa (Sanam),Nepal, (Sanam),M,20,1992,H-A Worker,1,0,0,1,0,1,1,0,0,0,0,1,1,18-05-2012,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2012 Spr,EVER,EVER-121-07,03,1,S Col-SE Ridge,,1,1,Royal Orchid Treks,,2012,1,0,TRUE
,"Tenzing (Tenzen, Tenzi)",Sherpa,"Tenzing (Tenzen, Tenzi) Sherpa (Thami)",Nepal, (Thami),M,47,1964,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-17,03,1,S Col-SE Ridge,,1,1,Himalayan Human Adventure,,2012,1,0,FALSE
,Tenzing Dorje,Sherpa,Tenzing Dorje Sherpa (Phortse),Nepal, (Phortse),M,41,1970,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0440,4.67,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-01,35,1,S Col-SE Ridge,,1,1,Asian Trekking,,2012,1,0,FALSE
,Tenzing Gyalzen,Sherpa,Tenzing Gyalzen Sherpa (Phortse),Nepal, (Phortse),M,20,1991,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0610,6.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-40,57,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2012,1,0,TRUE
,Thendorje (Thendu Dorje),Sherpa,Thendorje (Thendu Dorje) Sherpa (Pangboche),Nepal, (Pangboche),M,29,1983,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0620,6.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-91,05,2,N Col-NE Ridge,,1,1,Himalayan Guides,,2012,1,0,FALSE
,Thundu,Sherpa,Thundu Sherpa (Beding),Nepal, (Beding),M,34,1978,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0600,6,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-16,12,1,S Col-SE Ridge,,1,1,Summit Nepal Trekking,,2012,1,0,FALSE
,Tseten Dorje (Chheten Dorje),Sherpa,Tseten Dorje (Chheten Dorje) Sherpa (Pangboche),Nepal, (Pangboche),M,33,1979,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,0509,5.15,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-40,58,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2012,1,0,FALSE
,Tshering Dorje,Sherpa,Tshering Dorje Sherpa (Kharikhola),Nepal, (Kharikhola),M,41,1970,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2012,1330,13.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2012 Spr,EVER,EVER-121-46,20,1,S Col-SE Ridge,,1,1,Sherpa Shangri-La Trekking,,2012,1,0,FALSE
,Tshering Dorje (Chhering Dorje),Sherpa,Tshering Dorje (Chhering Dorje) Sherpa (Beding),Nepal, (Beding),M,23,1989,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,26-05-2012,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,2012 Spr,EVER,EVER-121-33,07,1,S Col-SE Ridge,,1,1,Senge Treks & Expeditions,,2012,1,0,FALSE
,Tshering Pemba,Sherpa,Tshering Pemba Sherpa (Beding),Nepal, (Beding),M,26,1985,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0700,7,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-16,13,1,S Col-SE Ridge,,1,1,Summit Nepal Trekking,,2012,1,0,FALSE
,Tshering Tashi,Sherpa,Tshering Tashi Sherpa (Khumjung),Nepal, (Khumjung),M,26,1985,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2012,1330,13.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2012 Spr,EVER,EVER-121-50,05,1,S Col-SE Ridge,,1,1,Prestige Adventure,,2012,1,0,FALSE
,Wangchu,Sherpa,Wangchu Sherpa (Taksindu-3),Nepal, (Taksindu-3),M,34,1978,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,25-05-2012,0400,4,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,2012 Spr,EVER,EVER-121-68,19,2,N Col-NE Ridge,,1,1,Active Holiday Nepal Treks,,2012,1,0,FALSE
